time,location,timestamp
1364367126,in[sport-venues],2013-03-27 06:52:06
1364367141,in[sport-venues],2013-03-27 06:52:21
1364367157,in[sport-venues],2013-03-27 06:52:37
1364367172,in[sport-venues],2013-03-27 06:52:52
1364367188,in[sport-venues],2013-03-27 06:53:08
1364367203,in[sport-venues],2013-03-27 06:53:23
1364367219,in[sport-venues],2013-03-27 06:53:39
1364367234,in[sport-venues],2013-03-27 06:53:54
1364367250,in[sport-venues],2013-03-27 06:54:10
1364367265,in[sport-venues],2013-03-27 06:54:25
1364367281,in[sport-venues],2013-03-27 06:54:41
1364367301,in[sport-venues],2013-03-27 06:55:01
1364367317,in[sport-venues],2013-03-27 06:55:17
1364367332,in[sport-venues],2013-03-27 06:55:32
1364367348,in[sport-venues],2013-03-27 06:55:48
1364367363,in[sport-venues],2013-03-27 06:56:03
1364367379,in[sport-venues],2013-03-27 06:56:19
1364367394,in[sport-venues],2013-03-27 06:56:34
1364367410,in[sport-venues],2013-03-27 06:56:50
1364367425,in[sport-venues],2013-03-27 06:57:05
1364367441,in[sport-venues],2013-03-27 06:57:21
1364367457,in[sport-venues],2013-03-27 06:57:37
1364367472,in[sport-venues],2013-03-27 06:57:52
1364367488,in[sport-venues],2013-03-27 06:58:08
1364367503,in[sport-venues],2013-03-27 06:58:23
1364367519,in[sport-venues],2013-03-27 06:58:39
1364367534,in[sport-venues],2013-03-27 06:58:54
1364367550,in[sport-venues],2013-03-27 06:59:10
1364367565,in[sport-venues],2013-03-27 06:59:25
1364367581,in[sport-venues],2013-03-27 06:59:41
1364367601,in[sport-venues],2013-03-27 07:00:01
1364367617,in[sport-venues],2013-03-27 07:00:17
1364367632,in[sport-venues],2013-03-27 07:00:32
1364367648,in[sport-venues],2013-03-27 07:00:48
1364367663,in[sport-venues],2013-03-27 07:01:03
1364367679,in[sport-venues],2013-03-27 07:01:19
1364367695,in[sport-venues],2013-03-27 07:01:35
1364367710,in[sport-venues],2013-03-27 07:01:50
1364367726,in[sport-venues],2013-03-27 07:02:06
1364367741,in[sport-venues],2013-03-27 07:02:21
1364367757,in[sport-venues],2013-03-27 07:02:37
1364367772,in[sport-venues],2013-03-27 07:02:52
1364367788,in[sport-venues],2013-03-27 07:03:08
1364367803,in[sport-venues],2013-03-27 07:03:23
1364367819,in[sport-venues],2013-03-27 07:03:39
1364367834,in[sport-venues],2013-03-27 07:03:54
1364367850,in[sport-venues],2013-03-27 07:04:10
1364367865,in[sport-venues],2013-03-27 07:04:25
1364367881,in[sport-venues],2013-03-27 07:04:41
1364367901,in[sport-venues],2013-03-27 07:05:01
1364367917,in[sport-venues],2013-03-27 07:05:17
1364367932,in[sport-venues],2013-03-27 07:05:32
1364367948,in[sport-venues],2013-03-27 07:05:48
1364367963,in[sport-venues],2013-03-27 07:06:03
1364367979,in[sport-venues],2013-03-27 07:06:19
1364367995,in[sport-venues],2013-03-27 07:06:35
1364368010,in[sport-venues],2013-03-27 07:06:50
1364368025,in[sport-venues],2013-03-27 07:07:05
1364368041,in[sport-venues],2013-03-27 07:07:21
1364368056,in[sport-venues],2013-03-27 07:07:36
1364368072,in[sport-venues],2013-03-27 07:07:52
1364368087,in[sport-venues],2013-03-27 07:08:07
1364368103,in[sport-venues],2013-03-27 07:08:23
1364368120,in[sport-venues],2013-03-27 07:08:40
1364368135,in[sport-venues],2013-03-27 07:08:55
1364368151,in[sport-venues],2013-03-27 07:09:11
1364368166,in[sport-venues],2013-03-27 07:09:26
1364368181,in[sport-venues],2013-03-27 07:09:41
1364368201,in[sport-venues],2013-03-27 07:10:01
1364368217,in[sport-venues],2013-03-27 07:10:17
